Jahr,1_Merkmal_Code,1_Auspraegung_Label,2_Auspraegung_Label,3_Merkmal_Code,3_Merkmal_Label,3_Auspraegung_Code,3_Auspraegung_Label,birth
1998,DLAND,Sachsen-Anhalt,Juli,GES,Geschlecht,,Insgesamt,1680
1998,DLAND,Sachsen-Anhalt,August,GES,Geschlecht,,Insgesamt,1584
1998,DLAND,Sachsen-Anhalt,September,GES,Geschlecht,,Insgesamt,1664
1998,DLAND,Sachsen-Anhalt,Oktober,GES,Geschlecht,,Insgesamt,1437
1998,DLAND,Sachsen-Anhalt,November,GES,Geschlecht,,Insgesamt,1365
1998,DLAND,Sachsen-Anhalt,Dezember,GES,Geschlecht,,Insgesamt,1481
1998,DLAND,Schleswig-Holstein,Januar,GES,Geschlecht,,Insgesamt,2376
1998,DLAND,Schleswig-Holstein,Februar,GES,Geschlecht,,Insgesamt,2189
1998,DLAND,Schleswig-Holstein,Maerz,GES,Geschlecht,,Insgesamt,2336
1998,DLAND,Schleswig-Holstein,April,GES,Geschlecht,,Insgesamt,2315
1998,DLAND,Schleswig-Holstein,Mai,GES,Geschlecht,,Insgesamt,2193
1998,DLAND,Schleswig-Holstein,Juni,GES,Geschlecht,,Insgesamt,2138
1998,DLAND,Schleswig-Holstein,Juli,GES,Geschlecht,,Insgesamt,2609
1998,DLAND,Schleswig-Holstein,August,GES,Geschlecht,,Insgesamt,2495
1998,DLAND,Schleswig-Holstein,September,GES,Geschlecht,,Insgesamt,2469
1998,DLAND,Schleswig-Holstein,Oktober,GES,Geschlecht,,Insgesamt,2292
1998,DLAND,Schleswig-Holstein,November,GES,Geschlecht,,Insgesamt,2168
1998,DLAND,Schleswig-Holstein,Dezember,GES,Geschlecht,,Insgesamt,2149
1998,DLAND,Thüringen,Januar,GES,Geschlecht,,Insgesamt,1304
1998,DLAND,Thüringen,Februar,GES,Geschlecht,,Insgesamt,1202
1998,DLAND,Thüringen,Maerz,GES,Geschlecht,,Insgesamt,1358
1998,DLAND,Thüringen,April,GES,Geschlecht,,Insgesamt,1326
1998,DLAND,Thüringen,Mai,GES,Geschlecht,,Insgesamt,1373
1998,DLAND,Thüringen,Juni,GES,Geschlecht,,Insgesamt,1340
1998,DLAND,Thüringen,Juli,GES,Geschlecht,,Insgesamt,1581
1998,DLAND,Thüringen,August,GES,Geschlecht,,Insgesamt,1463
1998,DLAND,Thüringen,September,GES,Geschlecht,,Insgesamt,1537
1998,DLAND,Thüringen,Oktober,GES,Geschlecht,,Insgesamt,1440
1998,DLAND,Thüringen,November,GES,Geschlecht,,Insgesamt,1342
